Time (s),Speed (m/s)
1,41.227
2,45.891
3,42.333
4,40.594
5,43.693
6,45.437
7,46.625
8,46.277
9,44.902
10,47.275
11,47.149
12,46.059
13,46.939
14,45.74
15,44.926
16,43.763
17,46.104
18,43.089
19,45.413
20,43.383
21,46.425
22,44.89
23,45.632
24,46.092
25,42.286
26,42.402
27,41.845
28,40.941
29,43.286
30,44.262
31,43.996
32,40.476
33,40.978
34,39.723
35,44.069
36,43.804
37,42.1
38,45.18
39,42.59
40,40.249
41,42.567
42,41.739
43,40.74
44,38.882
45,41.386
46,39.482
47,40.536
48,41.37
49,40.622
50,41.586
51,41.091
52,39.707
53,39.904
54,41.332
55,37.983
56,39.568
57,39.816
58,40.83
59,42.366
60,40.859
61,36.327
62,41.056
63,41.922
64,41.585
65,40.243
66,40.125
67,40.998
68,40.877
69,40.437
70,40.849
71,42.068
72,41.33
73,42.586
74,42.159
75,42.266
76,42.133
77,41.496
78,43.077
79,42.597
80,42.526
81,41.998
82,40.024
83,42.532
84,41.572
85,40.431
86,43.19
87,40.124
88,38.629
89,38.983
90,38.868
91,38.542
92,38.862
93,39.407
94,42.173
95,40.122
96,40.794
97,39.837
98,39.174
99,39.311
100,41.239
101,40.986
102,38.055
103,40.19
104,38.931
105,39.118
106,41.204
107,38.641
108,39.317
109,40.766
110,39.595
111,38.662
112,39.787
113,43.652
114,40.398
115,41.226
116,39.234
117,38.779
118,38.514
119,39.766
120,42.913
121,41.06
122,40.803
123,41.584
124,39.707
125,39.163
126,42.36
127,40.539
128,39.426
129,39.859
130,41.561
131,41.948
132,41.796
133,42.476
134,43.264
135,42.824
136,43.253
137,42.45
138,40.261
139,40.878
140,40.134
141,42.08
142,42.15
143,39.34
144,40.87
