Time (s),Speed (m/s)
1,44.098
2,42.184
3,44.243
4,43.422
5,43.362
6,44.706
7,45.472
8,43.479
9,44.495
10,45.548
11,45.657
12,45.548
13,47.408
14,45.771
15,47.135
16,47.791
17,48.942
18,47.672
19,46.224
20,48.214
21,45.872
22,47.328
23,45.917
24,45.795
25,42.887
26,48.509
27,45.771
28,45.426
29,48.016
30,45.254
31,45.339
32,42.621
33,47.559
34,44.69
35,45.675
36,44.109
37,44.416
38,45.042
39,43.671
40,45.395
41,42.748
42,41.728
43,40.979
44,41.911
45,42.738
46,38.361
47,38.443
48,38.595
49,37.982
50,41.477
51,36.751
52,37.652
53,38.119
54,38.318
55,37.247
56,37.57
57,35.805
58,36.216
59,37.54
60,35.435
61,36.036
62,32.736
63,33.79
64,36.067
65,37.284
66,36.383
67,36.63
68,35.821
69,37.357
70,37.763
71,35.896
72,35.615
73,36.052
74,36.978
75,37.209
76,37.211
77,38.156
78,37.389
79,39.649
80,36.776
81,37.798
82,36.378
83,38.893
84,36.838
85,38.791
86,38.459
87,35.174
88,34.39
89,32.165
90,33.959
91,29.594
92,28.702
93,33.398
94,32.048
95,31.341
96,32.354
97,31.454
98,32.139
99,31.183
100,30.626
101,33.027
102,31.158
103,27.577
104,25.836
105,21.474
106,18.158
107,19.206
108,18.742
109,21.155
110,19.995
111,19.885
112,22.535
113,20.234
114,19.451
115,21.903
116,16.828
117,12.381
118,13.829
119,12.92
120,12.356
121,13.913
122,13.142
123,16.938
124,19.476
125,21.474
126,22.718
127,29.501
128,32.877
129,34.554
130,35.912
131,36.518
132,35.693
133,35.62
134,34.951
135,36.049
136,36.284
137,38.188
138,38.304
139,39.173
140,38.83
141,40.059
142,37.629
143,41.41
144,42.295
